D B Malls Private Limited, Real Estate Development Term Loan Facilities #,D C Metals Trading Companies & Distributors Cash Credit Limit CRISIL D,,,,,,,,,,,
DDN SFA Limited, Food Products Term Loan Facilities CRISIL BB- Stable,Proposed Long-Term Bank Facility CRISIL BB- Stable,Cash Credit Limit CRISIL BB- Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,
DDPL Global Infrastructure Private Limited, Real Estate Development Term Loan Facilities CRISIL BB Stable,DDecor Properties LLP Real Estate Development Term Loan Facilities CRISIL BB Stable,DDecor Realty LLP Real Estate Development Term Loan Facilities CRISIL BB Stable,DEE CEE HOSPITALITIES Hotels Restaurants & Leisure Proposed Term Loan CRISIL B Stable,,,,,,,,,
DEE Control and Electric Private Limited, Electrical Equipment Cash Credit Limit CRISIL BB Stable,Proposed Long-Term Bank Facility CRISIL BB Stable,Bank Guarantee limit CRISIL A4+,Letter of Credit Limit CRISIL A4+,DETAILS Textiles- Apparel & Luxury Goods Proposed Non Fund based limits CRISIL A4,Packing Credits CRISIL A4,Foreign Bill Exchange CRISIL A4,,,,,,
DF Power Systems Private Limited, Electrical Equipment Cash Credit Limit CRISIL BBB+ Stable,Letter of Credit Limit CRISIL A2,,,,,,,,,,,
DG Estates Private Limited, Hotels Restaurants & Leisure Proposed Long-Term Bank Facility #,Rupee Term Loans #,Bank Guarantee limit #,,,,,,,,,,
DGEN Transmission Company Limited, Electric Utilities Proposed Long-Term Bank Facility CRISIL BB+ Negative,,,,,,,,,,,,
DH Consultants Private Limited, Others Real Estate Valuer Grade Grade 3,,,,,,,,,,,,
DHFL Vysya Housing Finance Limited, Housing Finance Company Long Term Bank Loan CRISIL A+ Stable,Fixed Deposit FAA- Stable,,,,,,,,,,,
DIC India Limited, Chemicals Cash Credit Limit CRISIL AA- Stable,Non Convertible Debenture CRISIL AA- Stable,Letter of Credit and Bank Guarantee CRISIL A1+,Short Term Debt CRISIL A1+,,,,,,,,,
DIL Limited, Real Estate Development Proposed Long-Term Bank Facility CRISIL BB+ Stable,Long Term Bank Loan CRISIL BB+ Stable,,,,,,,,,,,
DJ Energy Private Limited, Electric Utilities Term Loan Facilities CRISIL BBB- Stable,,,,,,,,,,,,
DJH Tradex Private Limited, Distributors Proposed Long-Term Bank Facility #,Cash Credit Limit #,,,,,,,,,,,
DJPR Constructions Private Limited, Construction & Engineering Cash Credit Limit CRISIL BB Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,,,
DK Basak Jewellers Private Limited, Engineering & Capital Goods Cash Credit Limit #,Stand by Letter of Credit #,,,,,,,,,,,
DK Infrastructure Private Limited, Construction & Engineering Proposed Long-Term Bank Facility CRISIL BB+ Stable,Cash Credit Limit CRISIL BB+ Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,,
DKI Apparel Private Limited, Textiles- Apparel & Luxury Goods Rupee Term Loans #,Packing Credits #,Bill Purchase-Discounting Facility #,,,,,,,,,,
DLF Emporio Limited, Real Estate Development Non Convertible Debenture(SO) CRISIL AA(SO) Stable,,,,,,,,,,,,
DLF Info City Developers ( Kolkata) Limited, Real Estate Development Rupee Term Loans (Bank Loans) CRISIL A(SO) Negative,,,,,,,,,,,,
DLF Info City Developers (Chandigarh) Limited, Real Estate Development Rupee Term Loans (Bank Loans) CRISIL A(SO) Negative,,,,,,,,,,,,
DLF Limited, Real Estate Development Non Convertible Debenture CRISIL A Negative,Proposed Long-Term Bank Facility CRISIL A Negative,Over Draft CRISIL A Negative,Term Loan Facilities CRISIL A Negative,Bank Guarantee limit CRISIL A2+,Short-Term Loan CRISIL A2+,Letter of Credit Limit CRISIL A2+,Short Term Debt CRISIL A2+,,,,,
DLF Promenade Limited, Real Estate Development Non Convertible Debenture(SO) CRISIL AA(SO) Stable,DLP Cotton Textiles- Apparel & Luxury Goods Cash Credit Limit CRISIL B Stable,Term Loan Facilities CRISIL B Stable,,,,,,,,,,
DM Corporation Private Limited, Construction & Engineering Cash Credit Limit CRISIL D,Proposed Term Loan CRISIL D,Term Loan Facilities CRISIL D,Working Capital Term Loan CRISIL D,Bank Guarantee limit CRISIL D,DM Education AND Research Foundation Diversified Consumer Services Cash Credit Limit CRISIL B Stable,Long Term Bank Loan CRISIL B Stable,Bank Guarantee limit CRISIL A4,Letter of Credit Limit CRISIL A4,,,,
DMB Paper Mills Private Limited, Paper & Forest Products Long Term Bank Loan CRISIL B+ Stable,Cash Credit Limit CRISIL B+ Stable,Bank Guarantee limit CRISIL A4,,,,,,,,,,
DMK Petrotraders AND Carrier Private Limited, Distributors Proposed Long-Term Bank Facility #,Cash Credit Limit #,Overdraft Facility #,Bank Guarantee limit #,,,,,,,,,
DML Exim Private Limited, Distributors Cash Credit Limit CRISIL BB+ Stable,Packing Credits CRISIL A4+,,,,,,,,,,,
DML World Trade Private Limited, Distributors Over Draft CRISIL BB+ Stable,Packing Credits CRISIL A4+,,,,,,,,,,,
DMR Builders Private Limited, Construction & Engineering Cash Credit Limit CRISIL BB- Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,,,
DMR Hospitals Private Limited, Health Care Providers & Services Rupee Term Loans CRISIL B Stable,Proposed Long-Term Bank Facility CRISIL B Stable,Overdraft Facility CRISIL A4,,,,,,,,,,
DMW Cnc Solutions India Private Limited, Auto Components Proposed Long-Term Bank Facility CRISIL BB- Stable,Term Loan Facilities CRISIL BB- Stable,Cash Credit Limit CRISIL BB- Stable,Bank Guarantee limit CRISIL A4+,DN Paper Mill Paper & Forest Products Proposed Long-Term Bank Facility CRISIL B Stable,Term Loan Facilities CRISIL B Stable,Cash Credit Limit CRISIL B Stable,,,,,,
DNH Spinners Private Limited, Textiles- Apparel & Luxury Goods Long Term Bank Loan #,Proposed Long-Term Bank Facility #,Cash Credit Limit #,Bank Guarantee limit #,Letter of Credit Limit #,,,,,,,,
DNP Limited, Gas Utilities Term Loan Facilities #,DNV Realty Real Estate Development Project Term Loan CRISIL BB- Stable,DP Chocolates Food Products Term Loan Facilities CRISIL BBB Stable,Cash Credit Limit CRISIL BBB Stable,Proposed Cash Credit Limit CRISIL BBB Stable,,,,,,,,
DP Cocoa Products Private Limited, Food Products Cash Credit Limit CRISIL BBB Stable,Proposed Long-Term Bank Facility CRISIL BBB Stable,DPB Antibiotics Distributors Proposed Long-Term Bank Facility CRISIL BB+ Stable,Cash Credit Limit CRISIL BB+ Stable,Letter of Credit Limit CRISIL A4+,,,,,,,,
DPH Software Services Private Limited, IT Services Proposed Long-Term Bank Facility CRISIL BB- Stable,Proposed Bank Guarantee CRISIL A4+,Bank Guarantee limit CRISIL A4+,,,,,,,,,,
DPS Contractors Private Limited, Construction & Engineering Cash Credit Limit CRISIL BB- Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,,,
DRA Industries Limited, Metals & Mining Cash Credit Limit CRISIL BB Stable,Long Term Bank Loan CRISIL BB Stable,Letter of Credit (LC) CRISIL BB Stable,Letter of Credit Limit CRISIL A4+,,,,,,,,,
DRK Metallurgical Private Limited, Metals & Mining Proposed Long-Term Bank Facility #,Cash Credit Limit #,Packing Credits #,,,,,,,,,,
DRN Hospitalities Private Limited, Hotels Restaurants & Leisure Cash Credit Limit CRISIL B Stable,Long Term Bank Loan CRISIL B Stable,Proposed Long-Term Bank Facility CRISIL B Stable,DRN Infrastructure Construction & Engineering Cash Credit Limit CRISIL BBB+ Stable,Proposed Cash Credit Limit CRISIL BBB+ Stable,Proposed Bank Guarantee CRISIL A2,Bank Guarantee limit CRISIL A2,,,,,,
DRRK Foods Private Limited, Food Products Proposed Long-Term Bank Facility CRISIL BB- Stable,Long Term Bank Loan CRISIL BB- Stable,Cash Credit Limit CRISIL BB- Stable,Packing Credits CRISIL A4+,Foreign Bill Purchase Limit CRISIL A4+,,,,,,,,
DRS Warehousing (North) Private Limited, Commercial Services & Supplies Term Loan Facilities CRISIL BBB- Stable,,,,,,,,,,,,
DRT-Anthea Aroma Chemicals Private Limited, Chemicals Rupee Term Loans #,Cash Credit Limit #,Letter of Credit Limit #,Packing Credits #,,,,,,,,,
DS Agrifoods Private Limited, Food Products Cash Credit Limit CRISIL B Stable,,,,,,,,,,,,
DS-Max Properties Private Limited, Real Estate Development Term Loan Facilities #,,,,,,,,,,,,
DSL Hydrowatt Limited, Independent Power Producers & Energy Traders Proposed Long-Term Bank Facility CRISIL BBB- Stable,Term Loan Facilities CRISIL BBB- Stable,,,,,,,,,,,
DSM Soft Private Limited, Software Cash Credit Limit #,Proposed Long-Term Bank Facility #,Working Capital Term Loan #,Bank Guarantee limit #,Packing Credits #,DSP BlackRock Liquidity Fund Asset Management Company Credit Quality Ratings CRISIL AAAmfs,DSP BlackRock Ultra Short Term Fund Asset Management Company Credit Quality Ratings CRISIL AAAmfs,,,,,,
DSP Merrill Lynch Capital Limited, Non Banking Financial Company Commercial Paper CRISIL A1+,Overdraft Facility CRISIL A1+,,,,,,,,,,,
