C A V Cotton Mills Private Limited, Textiles- Apparel & Luxury Goods Proposed Long-Term Bank Facility #,Cash Credit Limit #,Long Term Bank Loan #,,,,,,,,,,,,
CDE Asia Limited, Machinery Cash Credit Limit #,Bank Guarantee limit #,Proposed Short Term Bank Facility #,,,,,,,,,,,,
CHL Cardiac Care Private Limited, Health Care Providers & Services Term Loan Facilities #,,,,,,,,,,,,,,
CHW Forge Private Limited, Metals & Mining Term Loan Facilities CRISIL A Positive,Cash Credit Limit CRISIL A Positive,Export Packing Credit CRISIL A Positive,Proposed Long-Term Bank Facility CRISIL A Positive,Letter of Credit and Bank Guarantee CRISIL A1,,,,,,,,,,
CI2 Jewellery Private Limited, Textiles- Apparel & Luxury Goods Packing Credits #,Proposed Short Term Bank Facility #,,,,,,,,,,,,,
CIBI International Private Limited, Textiles- Apparel & Luxury Goods Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,,,
CICB - Chemicon Private Limited, Machinery Proposed Long-Term Bank Facility CRISIL D,Packing Credit CRISIL D,Cash Credit Limit CRISIL D,Letter of Credit Limit CRISIL D,Bank Guarantee limit CRISIL D,,,,,,,,,,
CICON Engineers Private Limited, Construction & Engineering Corporate Loan CRISIL BBB Stable,Cash Credit Limit CRISIL BBB Stable,Bank Guarantee limit CRISIL A3+,Letter of Credit Limit CRISIL A3+,,,,,,,,,,,
CIM Tools Private Limited, Aerospace & Defense Proposed Long-Term Bank Facility CRISIL BB+ Stable,Cash Credit Limit CRISIL BB+ Stable,Term Loan Facilities CRISIL BB+ Stable,Foreign Discounting Bill Purchase CRISIL A4+,Inland/Import Letter of Credit CRISIL A4+,,,,,,,,,,
CIMS Hospital Private Limited, Health Care Providers & Services Cash Credit Limit #,Term Loan Facilities #,,,,,,,,,,,,,
CIPSA TEC India Private Limited, Electronic Equipment Instruments & Components Cash Credit Limit CRISIL BB Stable,Letter of Credit Limit CRISIL A4+,Bill Discounting Facility CRISIL A4+,,,,,,,,,,,,
CIS Bureaus Facility Services Private Limited, Commercial Services & Supplies Cash Credit Limit CRISIL BBB Stable,Proposed Long-Term Bank Facility CRISIL BBB Stable,CISC-CMAT (JV) Construction & Engineering Cash Credit Limit #,Bank Guarantee limit #,CISC-CMAT UCC (JV) Construction & Engineering Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,
CJI Porcelain Private Limited, Electrical Equipment Term Loan Facilities CRISIL BB Stable,Proposed Long-Term Bank Facility CRISIL BB Stable,Cash Credit Limit CRISIL BB Stable,Fixed Deposit FB+ Stable,Letter of Credit Limit CRISIL A4+,Bank Guarantee limit CRISIL A4+,,,,,,,,,
CK Plastics Private Limited, Containers & Packaging Cash Credit Limit #,Term Loan Facilities #,Letter of Credit Limit #,,,,,,,,,,,,
CKS Pharma Labs Private Limited, Pharmaceuticals Term Loan Facilities CRISIL D,,,,,,,,,,,,,,
CLP Wind Farms (Theni- Project II) Private Limited, Independent Power Producers & Energy Traders Proposed Long-Term Bank Facility CRISIL A- Stable,,,,,,,,,,,,,,
CMI FPE Limited, Machinery Term Loan Facilities CRISIL BBB+ Negative,Cash Credit Limit CRISIL BBB+ Negative,Letter of Credit Limit CRISIL A2,,,,,,,,,,,,
CMI Industry Automation Private Limited, Machinery Cash Credit Limit CRISIL BBB Stable,Proposed Long-Term Bank Facility CRISIL BBB Stable,Bank Guarantee limit CRISIL A3+,,,,,,,,,,,,
CMJ Breweries Private Limited, Beverages Proposed Long-Term Bank Facility CRISIL D,Term Loan Facilities CRISIL D,Cash Credit Limit CRISIL D,,,,,,,,,,,,
CMM Tradelinks Private Limited, Distributors Cash Credit Limit CRISIL BB- Stable,Proposed Cash Credit Limit CRISIL BB- Stable,,,,,,,,,,,,,
CMR Projects Limited, Construction & Engineering Cash Credit Limit CRISIL BBB- Stable,Bank Guarantee limit CRISIL A3,,,,,,,,,,,,,
CMRGS Infrastructure Projects Limited, Construction & Engineering Over Draft CRISIL B+ Stable,CMS Educational Trust Diversified Consumer Services Long Term Bank Loan #,CMW Pressings Metals & Mining Cash Credit Limit CRISIL A- Positive,Letter of Credit Limit CRISIL A2+,,,,,,,,,,,
CPC Diagnostics Private Limited, Health Care Providers & Services Cash Credit Limit #,Long Term Bank Loan #,Proposed Long-Term Bank Facility #,Proposed Short Term Bank Facility #,Letter of Credit Limit #,Bank Guarantee limit #,,,,,,,,,
CPC Private Limited, Machinery Long Term Bank Loan #,Cash Credit Limit #,Standby Line Of Credit #,Bill Purchase-Discounting Facility #,Letter of Credit Limit #,Bank Guarantee limit #,Packing Credits #,,,,,,,,
CPR Capital Services Limited, Broking Company Over Draft CRISIL C,,,,,,,,,,,,,,
CRR Telecom Private Limited, Machinery Proposed Long-Term Bank Facility #,,,,,,,,,,,,,,
CRS Infra Projects Limited, Household Durables Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,,,
CS Aerotherm Private Limited, Machinery Cash Credit Limit #,Bill Discounting Facility #,,,,,,,,,,,,,
