U52202AP2015OPC097321,,GO GREEN EXIM PRIVATE LIMITED (OPC),9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,OPC,100000,100000,0,Trading,"Plot No. C-16, D. No. 2-269, 2nd Ward Co-Operative Building Society Colony, Madanapalli   Chittoor Andhra Pradesh INDIA 517325"
U18204AP2015PTC097317,,MOHAN APPARELS PRIVATE LIMITED,9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,100000,0,Manufacturing (Textiles),"48-12-17, ELURU ROAD GUNADALA   VIJAYAWADA Andhra Pradesh INDIA 520004"
U45400AP2015PTC097324,,TRIVENI GREENFIELDS PRIVATE LIMITED,9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Construction,"D.No: 6-3-182, Opp: Ram Nagar park, Ram Nagar,   Anantapur Andhra Pradesh INDIA 515001"
U55204AP2015PTC097326,,N A C HOSPITALITY PRIVATE LIMITED,9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,100000,0,Trading,"54-1-7/36B OPP:DONBOSCO SCHOOL,AUTONAGAR   VIJAYAWADA Andhra Pradesh INDIA 520007"
U74900AP2015PTC097314,,SUN HEALTHY EDIBLE OILS PRIVATE LIMITED,9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"D.NO: 77-26/1-16 PRAKASH NAGAR, PAYAKPURAM,   VIJAYAWADA Andhra Pradesh INDIA 520015"
U15122AP2015PTC097320,*,CHILLIZENS FOOD SOLUTIONS PRIVATE LIMITED,9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,10000,10000,0,Manufacturing (Food stuffs),"Door No. 55-1-3/2, Despatrunipalem,   Visakhapatnam Andhra Pradesh INDIA 531021"
U24100AP2015PTC097325,*,AMIBA HEALTH CARE PRIVATE LIMITED,9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,"Manufacturing (Metals & Chemicals, and products thereof)","D NO.8-9-59, NEHURU NAGAR, 2ND LINE,     GUNTUR Andhra Pradesh INDIA 522001"
U72200AP2015PTC097318,*,SYMMETRA SOFTWARE SOLUTIONS PRIVATE LIMITED,9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,500000,0,Business Services,"H.NO 27-6-170, AKHIL RESIDENCY BESIDE ANNAPOORNA THEATRE, GOVERNER PETA   VIJAYAWADA Andhra Pradesh INDIA 520002"
U74120AP2015PTC097323,*,A L HERBALS INDIA PRIVATE LIMITED,9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"H.NO.80-11-123-B, ABBAS NAGAR   KURNOOL Andhra Pradesh INDIA 518002"
U74120AP2015PTC097316,*,GANESH TAX CONSULTANCY SERVICES PRIVATE LIMITED,9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,500000,500000,0,Business Services,"Flot No:404, 4th Floor, Swathi Avenue Apartments.7/1 Chandramouli Nagar   Guntur Andhra Pradesh INDIA 522007"
U74120AP2015PTC097319,*,EXCEL FORMS AND PROJECTS PRIVATE LIMITED,9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"Shop No:27, Ground Floor, K.A.C. Plaza, R.R. Street,   Nellore Andhra Pradesh INDIA 524001"
U74900AP2015PTC097313,*,TARSA INFRA PROJECTS PRIVATE LIMITED,9/7/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,500000,200000,0,Business Services,"Flat No.304, SRI SAMPATH APARTMENTS LAWSONS BAY COLONY   VISAKHAPATNAM Andhra Pradesh INDIA 530014"
